text,label
"['link', 'shows', 'way', 'graphing', 'exchange', 'virtual', 'photon', 'two', 'positive', 'charges']",0
"['graph', 'time', 'versus', 'position', 'called', 'feynman', 'diagram', 'brilliant', 'american', 'physicist', 'richard', 'feynman', '1918–1988', 'developed']",1
"['link', 'feynman', 'diagram', 'exchange', 'virtual', 'pion', 'proton', 'neutron', 'representing', 'interaction', 'link']",0
"['feynman', 'diagrams', 'useful', 'tool', 'visualizing', 'interactions', 'quantum', 'mechanical', 'level', 'also', 'used', 'calculate', 'details', 'interactions', 'strengths', 'probability', 'occurring']",0
"['special', 'names', 'given', 'particles', 'feel', 'strong', 'weak', 'nuclear', 'forces']",0
"['hadrons', 'particles', 'feel', 'strong', 'nuclear', 'force', 'whereas', 'leptons', 'particles']",1
"['proton', 'neutron', 'pions', 'examples', 'hadrons']",0
"['mesons', 'hadrons', 'decay', 'leptons', 'leave', 'hadrons', 'implies', 'mesons', 'conserved', 'number']",1
"['baryons', 'hadrons', 'always', 'decay', 'another', 'baryon']",1
"['new', 'physical', 'quantity', 'called', 'baryon', 'number', 'bb', 'size', '12', '{', 'b', '}', '{', '}', 'seems', 'always', 'conserved', 'nature', 'listed', 'various', 'particles', 'table', 'given']",0
"['keep', 'mind', 'leptons', 'seem', 'fundamental', 'whereasno', 'hadrons', 'fundamental']",0
"['strong', 'evidence', 'quarks', 'fundamental', 'building', 'blocks', 'hadrons', 'seen', 'link']",1
"['quarks', 'second', 'group', 'fundamental', 'particles', 'leptons', 'first']",0
"['combination', 'quarks', 'color', 'white', 'exerts', 'extremely', 'large', 'forces', '—', 'even', 'larger', 'strong', 'force', '—', 'perhaps', 'stable', 'permanently', 'separated']",0
"['part', 'theory', 'quark', 'confinement', 'explains', 'quarks', 'exist', 'yet', 'never', 'isolated', 'directly', 'observed']",1
"['finally', 'extra', 'quantum', 'number', 'three', 'values', 'like', 'assign', 'color', 'necessary', 'quarks', 'obey', 'pauli', 'exclusion', 'principle']",0
"['frontiers', 'physics', 'expands', 'story', 'making', 'connection', 'cosmology', 'opposite', 'end', 'distance', 'scale']",0
"['link', 'feynman', 'diagram', 'showing', 'weak', 'nuclear', 'force', 'transmitted', 'carrier', 'particle', 'z0z0', 'size', '12', '{', 'z', 'rsup', '{', 'size', '8', '{', '0', '}', '}', '}', '{', '}', 'similar', 'diagrams', 'link', 'link', 'electromagnetic', 'strong', 'nuclear', 'forces']",0
"['1960s', 'gauge', 'theory', 'called', 'electroweak', 'theory', 'developed', 'steven', 'weinberg', 'sheldon', 'glashow', 'abdus', 'salam', 'proposed', 'electromagnetic', 'weak', 'forces', 'identical', 'sufficiently', 'high', 'energies']",1
"['one', 'predictions', 'addition', 'describing', 'electromagnetic', 'weak', 'force', 'phenomena', 'existence', 'w+', 'w−w+', 'w−', 'z0z0', 'carrier', 'particles']",0
"['fact', 'enough', 'energy', 'things', 'pushed', 'even', 'smaller', 'distances', 'transform', 'z0z0', 'size', '12', '{', 'z', 'rsup', '{', 'size', '8', '{', '0', '}', '}', '}', '{', '}', 'massless', 'carrier', 'particles', 'similar', 'photons', 'gluons']",0
"['observed', 'experimentally', 'prediction', 'associated', 'particle', 'called', 'higgs', 'boson']",0
"['mass', 'particle', 'predicted', 'nearly', 'certainty', 'mass', 'w+', 'w−', 'w+', 'w−', 'z0z0', 'size', '12', '{', 'z', 'rsup', '{', 'size', '8', '{', '0', '}', '}', '}', '{', '}', 'particles', 'predicted', 'hoped', 'higgs', 'boson', 'could', 'observed', '-', 'canceled', 'superconducting', 'super', 'collider', 'ssc']",0
"['perhaps', 'important', 'characteristic', 'universe', 'galaxies', 'except', 'local', 'cluster', 'seem', 'moving', 'away', 'us', 'speeds', 'proportional', 'distance', 'galaxy']",0
"['looks', 'gigantic', 'explosion', 'universally', 'called', 'big', 'bang', 'threw', 'matter', 'billions', 'years', 'ago']",1
"['amazing', 'conclusion', 'based', 'pioneering', 'work', 'edwin', 'hubble', '1889–1953', 'american', 'astronomer']",0
"['10−43s10−43s', 'size', '12', '{', '``', ""''"", '10', '``', ""''"", 'rsup', '{', 'size', '8', '{', '-', '``', ""''"", '43', '``', ""''"", '}', '}', '`', '}', '{', '}', 'average', 'energy', 'reaches', 'immense', '1019gev1019gev', 'size', '12', '{', '``', ""''"", '10', '``', ""''"", 'rsup', '{', 'size', '8', '{', '``', ""''"", '19', '``', ""''"", '}', '}', '`', '``', ""''"", 'gev', '``', ""''"", '}', '{', '}', 'needed', 'unify', 'gravity', 'forces', 'toe', 'theory', 'everything']",0
"['time', 'toe', 'epoch', 'almost', 'idea', 'nature', 'universe', 'since', 'workable', 'theory', 'quantum', 'gravity']",0
"['call', 'hypothetical', 'unified', 'force', 'superforce', 'let', 'us', 'imagine', 'starting', 'toe', 'moving', 'forward', 'time', 'see', 'type', 'universe', 'created', 'various', 'events', 'along', 'way']",1
"['know', 'special', 'relativity', 'relativity', 'study', 'different', 'observers', 'measure', 'event', 'particularly', 'move', 'relative', 'one', 'another']",1
"['einstein', '’', 'theory', 'general', 'relativity', 'describes', 'types', 'relative', 'motion', 'including', 'accelerated', 'motion', 'effects', 'gravity']",1
"['general', 'relativity', 'encompasses', 'special', 'relativity', 'classical', 'relativity', 'situations', 'acceleration', 'zero', 'relative', 'velocity', 'small', 'compared', 'speed', 'light']",1
"['black', 'holesblack', 'holes', 'objects', 'large', 'gravitational', 'fields', 'things', 'fall', 'nothing', 'even', 'light', 'escape']",1
"['bodies', 'like', 'earth', 'sun', 'called', 'escape', 'velocity']",0
"['objects', 'first', 'discovered', '1967', 'british', 'astrophysicists', 'jocelyn', 'bell', 'anthony', 'hewish']",0
"['neutron', 'stars', 'literally', 'star', 'composed', 'neutrons']",1
"['formed', 'collapse', 'star', '’', 'core', 'supernova', 'electrons', 'protons', 'forced', 'together', 'form', 'neutrons', 'reverse', 'neutron', 'ββ', 'size', '12', '{', 'β', '}', '{', '}', 'decay']",0
"['introduced', 'earlier', 'guts', 'unification', 'forces', 'superstring', 'theory', 'attempt', 'unify', 'gravity', 'three', 'forces', 'thus', 'must', 'contain', 'quantum', 'gravity']",1
"['main', 'tenet', 'superstring', 'theory', 'fundamental', 'particles', 'including', 'graviton', 'carries', 'gravitational', 'force', 'act', 'like', 'one', '-', 'dimensional', 'vibrating', 'strings']",0
"['finally', 'recent', 'measurements', 'cmbr', 'implications', 'cosmological', 'constant', 'simply', 'device', 'concocted', 'single', 'purpose', 'recent', 'experimental', 'discovery', 'cosmological', 'constant', 'researchers', 'feel', 'universe', 'barely', 'open']",0
"['since', 'matter', 'thought', 'curve', 'space', 'around', 'call', 'open', 'universe', 'negatively', 'curved']",0
"['means', 'principle', 'travel', 'unlimited', 'distance', 'direction']",1
"['question', 'open', 'many', 'planets', 'bodies', 'smaller', '1/1000', 'mass', 'sun']",0
"['bodies', 'pass', 'us', 'star', 'block', 'star', '’', 'light', 'small', 'form', 'gravitational', 'lens', 'discussed', 'general', 'relativity', 'quantum', 'gravity', 'process', 'called', 'microlensing', 'light', 'star', 'focused', 'star', 'appears', 'brighten', 'characteristic', 'manner']",1
"['searches', 'dark', 'matter', 'form', 'particularly', 'interested', 'galactic', 'halos', 'huge', 'amount', 'mass', 'seems']",0
"['radical', 'proposal', 'explain', 'dark', 'matter', 'consists', 'previously', 'unknown', 'leptons', 'sometimes', 'obtusely', 'referred', 'non', '-', 'baryonic', 'matter']",0
"['called', 'weakly', 'interacting', 'massive', 'particles', 'wimps', 'would', 'also', 'chargeless', 'thus', 'interacting', 'negligibly', 'normal', 'matter', 'except', 'gravitation']",1
"['one', 'proposed', 'group', 'wimps', 'would', 'masses', 'several', 'orders', 'magnitude', 'greater', 'nucleons', 'sometimes', 'called', 'neutralinos']",1
"['also', 'based', 'partly', 'physics', 'treats', 'broad', 'classes', 'phenomena', 'many', 'disciplines']",0
"['chaos', 'word', 'used', 'describe', 'systems', 'whose', 'outcomes', 'extremely', 'sensitive', 'initial', 'conditions']",1
"['orbit', 'planet', 'pluto', 'example', 'may', 'chaotic', 'change', 'tremendously', 'due', 'small', 'interactions', 'planets']",0
"['example', 'ride', 'train', 'past', 'stationary', 'warning', 'bell', 'hear', 'bell', '’', 'frequency', 'shift', 'high', 'low', 'pass']",0
"['actual', 'change', 'frequency', 'due', 'relative', 'motion', 'source', 'observer', 'called', 'doppler', 'shift']",1
"['doppler', 'effect', 'doppler', 'shift', 'named', 'austrian', 'physicist', 'mathematician', 'christian', 'johann', 'doppler', '1803–1853', 'experiments', 'moving', 'sources', 'moving', 'observers']",0
"['power', 'associated', 'many', 'people', 'electricity']",0
"['knowing', 'power', 'rate', 'energy', 'use', 'energy', 'conversion', 'expression', 'electric', 'power']",1
"['power', 'transmission', 'lines', 'might', 'come', 'mind']",0
"['lawrence', 'involved', 'many', 'early', 'discoveries', 'promotion', 'physics', 'programs', 'american', 'universities']",0
"['awarded', '1939', 'nobel', 'prize', 'physics', 'cyclotron', 'nuclear', 'activations', 'element', 'two', 'major', 'laboratories', 'named', 'synchrotron', 'version', 'cyclotron', 'frequency', 'alternating', 'voltage', 'magnetic', 'field', 'strength', 'increased', 'beam', 'particles', 'accelerated']",1
"['particles', 'made', 'travel', 'distance', 'shorter', 'time', 'cycle', 'fixed', '-', 'radius', 'orbits']",0
"['cost', 'well', 'politics', 'international', 'research', 'funding', 'led', 'demise', 'addition', 'large', 'synchrotrons', 'produce', 'colliding', 'beams', 'protons', 'antiprotons', 'large', 'electron', '-', 'positron', 'accelerators']",0
"['oldest', 'straight', '-', 'line', 'linear', 'accelerator', 'called', 'stanford', 'linear', 'accelerator', 'slac', 'accelerated', 'particles', '50', 'gev', 'seen', 'link']",1
"['pion', 'must', 'captured', 'thus', 'directly', 'observed', 'would', 'amount', 'permanent', 'violation', 'mass', '-', 'energy', 'conservation']",0
"['particles', 'like', 'pion', 'called', 'virtual', 'particles', 'directly', 'observed', 'effects', 'directly', 'observed']",1
"['realizing', 'yukawa', 'used', 'information', 'range', 'strong', 'nuclear', 'force', 'estimate', 'mass', 'pion', 'particle', 'carries']",0
"['shared', '1965', 'nobel', 'prize', 'julian', 'schwinger', 's', 'i', 'tomonaga', 'work', 'qed', 'deep', 'implications', 'particle', 'physics', 'particles', 'called', 'gluons', 'listed', 'carrier', 'particles', 'strong', 'nuclear', 'force', 'yukawa', 'particle', 'heisenberg', 'uncertainty', 'principle', 'revisited', 'saw', 'pions', 'apparently', 'carry', 'force']",0
"['answer', 'pions', 'exchanged', 'substructure', 'explore', 'find', 'strong', 'force', 'actually', 'related', 'indirectly', 'observed', 'fundamental', 'gluons']",0
"['fact', 'carrier', 'particles', 'thought', 'fundamental', 'sense', 'substructure']",0
"['quarks', 'mentioned', 'various', 'points', 'text', 'fundamental', 'building', 'blocks', 'members', 'exclusive', 'club', 'truly', 'elementary', 'particles']",0
"['note', 'elementary', 'fundamental', 'particle', 'substructure', 'made', 'particles', 'finite', 'size', 'wavelength']",1
"['mean', 'fundamental', 'particles', 'stable', '—', 'decay', 'others']",0
"['originally', 'three', 'quark', 'types', '—', 'flavors', '—', 'proposed', 'account', '-', 'known', 'mesons', 'baryons']",0
"['quark', 'flavors', 'named', 'u', 'strange']",0
"['quarks', 'half', '-', 'integral', 'spin', 'thus', 'fermions']",0
"['analogy', 'unification', 'electric', 'magnetic', 'forces', 'quite', 'good', '—', 'four', 'forces', 'distinct', 'normal', 'circumstances', 'hints', 'connections', 'even', 'atomic', 'scale', 'may', 'conditions', 'forces', 'intimately', 'related', 'even', 'indistinguishable']",0
"['search', 'correct', 'theory', 'linking', 'forces', 'called', 'grand', 'unified', 'theory', 'gut', 'explored', 'section', 'realm', 'particle', 'physics']",0
"['frontiers', 'physics', 'expands', 'story', 'making', 'connection', 'cosmology', 'opposite', 'end', 'distance', 'scale']",0
"['link', 'feynman', 'diagram', 'showing', 'weak', 'nuclear', 'force', 'transmitted', 'carrier', 'particle', 'z0z0', 'size', '12', '{', 'z', 'rsup', '{', 'size', '8', '{', '0', '}', '}', '}', '{', '}', 'similar', 'diagrams', 'link', 'link', 'electromagnetic', 'strong', 'nuclear', 'forces']",0
"['beyond', 'scope', 'text', 'go', 'detail', 'types', 'quark', 'gluon', 'interactions', 'underlie', 'observable', 'particles', 'theory', 'quantum', 'chromodynamics', 'qcd', 'self', '-', 'consistent']",0
"['successful', 'qcd', 'electroweak', 'theory', 'taken', 'together', 'called', 'standard', 'model']",0
"['advances', 'knowledge', 'expected', 'modify', 'overthrow', 'standard', 'model', 'particle', 'physics', 'forces']",0
"['nature', 'universe', 'implications', 'unexplored', 'regions', 'particle', 'physics']",0
"['cosmology', 'study', 'character', 'evolution', 'universe']",1
"['major', 'characteristics', 'universe', 'know', 'today']",0
"['``', '``', '002', ""''"", ""''"", '`', 'k', '}', '{', '}']",0
"['detection', 'called', 'cosmic', 'microwave', 'background', 'cmbr', 'important', 'generally', 'considered', 'important', 'hubble', '’', 'detection', 'galactic', 'red', 'shift', 'proportional', 'distance', 'virtually', 'every', 'scientist', 'accepted', 'expansion', 'universe', 'fact']",0
"['penzias', 'wilson', 'shared', '1978', 'nobel', 'prize', 'physics', 'discovery']",0
"['1916', 'laid', 'foundation', 'general', 'relativity', 'almost']",0
"['much', 'einstein', 'develop', 'ideas', 'mentally', 'analyze', 'certain', 'carefully', 'clearly', 'defined', 'situations', '—', 'perform', 'thought', 'experiment']",1
"['link', 'illustrates', 'thought', 'experiment', 'like', 'ones', 'convinced', 'einstein', 'light', 'must', 'fall', 'gravitational', 'field']",0
"['gravitational', 'wavesif', 'massive', 'object', 'distorts', 'space', 'around', 'like', 'foot', 'water', 'bug', 'surface', 'pond', 'movement', 'massive', 'object', 'create', 'waves', 'space', 'like', 'pond']",0
"['gravitational', 'waves', 'mass', '-', 'created', 'distortions', 'space', 'propagate', 'speed', 'light', 'predicted', 'general', 'relativity']",1
"['since', 'gravity', 'far', 'weakest', 'force', 'extreme', 'conditions', 'needed', 'generate', 'significant', 'gravitational', 'waves']",0
"['recently', 'question', 'whether', 'enough', 'gravitation', 'stop', 'expansion', 'universe']",0
"['past', 'years', 'become', 'question', 'combination', 'gravitation', 'called', 'cosmological', 'constant']",0
"['cosmological', 'constant', 'invented', 'einstein', 'prohibit', 'expansion', 'contraction', 'universe']",0
"['time', 'developed', 'general', 'relativity', 'einstein', 'considered', 'illogical', 'possibility']",0
"['means', 'travel', 'far', 'enough', 'direction', 'return', 'starting', 'point', 'analogous', 'circumnavigating', 'earth']",0
"['two', 'flat', 'zero', 'curvature', 'universe']",0
"['recent', 'discovery', 'cosmological', 'constant', 'shown', 'universe', 'close', 'flat', 'expand', 'forever']",0
"['simple', 'laws', 'physics', 'apply', 'course', 'complex', 'systems', 'may', 'reveal', 'patterns', 'simple', 'systems']",0
"['emerging', 'field', 'complexity', 'devoted', 'study', 'complex', 'systems', 'including', 'outside', 'traditional', 'bounds', 'physics']",1
"['particular', 'interest', 'ability', 'complex', 'systems', 'adapt', 'evolve']",0
"['characteristic', 'sound', 'motorcycle', 'buzzing', 'example', 'doppler', 'effect']",0
"['high', '-', 'pitch', 'scream', 'shifts', 'dramatically', 'lower', '-', 'pitch', 'roar', 'motorcycle', 'passes', 'stationary', 'observer']",0
"['sonic', 'booms', 'one', 'example', 'broader', 'phenomenon', 'called', 'bow', 'wakes']",0
"['bow', 'wake', 'one', 'link', 'created', 'wave', 'source', 'moves', 'faster', 'wave', 'propagation', 'speed']",1
"['water', 'waves', 'spread', 'circles', 'point', 'created', 'bow', 'wake', 'familiar', 'v', '-', 'shaped', 'wake', 'trailing', 'source']",0
"['energies', 'produced', 'van', 'de', 'graaffs', 'insufficient', 'produce', 'new', 'particles', 'instrumental', 'exploring', 'several', 'aspects', 'nucleus']",0
"['another', 'equally', 'famous', 'early', 'accelerator', 'cyclotron', 'invented', '1930', 'american', 'physicist', 'e', 'o', 'lawrence', '1901–1958']",0
"['visual', 'representation', 'detail', 'see', 'link']",0
"['one', 'solution', 'problem', 'head', '-', 'collisions', 'particles', 'moving', 'opposite', 'directions']",0
"['colliding', 'beams', 'made', 'meet', 'head', '-', 'points', 'massive', 'detectors', 'located']",0
"['comparisons', 'high', 'low', 'incomes', 'raise', 'two', 'different', 'issues', 'economic', 'inequality', 'poverty']",0
"['poverty', 'measured', 'number', 'people', 'fall', 'certain', 'level', 'income', '—', 'called', 'poverty', 'line', '—', 'defines', 'income', 'needed', 'basic', 'standard', 'living']",1
"['united', 'states', 'official', 'definition', 'poverty', 'line', 'traces', 'back', 'single', 'person', 'mollie', 'orshansky']",0
"['1963', 'orshansky', 'working', 'social', 'security', 'administration', 'published', 'article', 'called', '“', 'children', 'poor', '”', 'highly', 'useful', 'dry', '-', '-', 'dust', 'publication', 'called', 'social', 'security', 'bulletin']",0
"['result', 'person', 'experiences', 'net', 'gain', 'working']",0
"['economists', 'call', 'problem', 'poverty', 'trap']",0
"['us', 'government', 'implemented', 'number', 'programs', 'assist', 'poverty', 'line', 'incomes', 'poverty', 'line', 'referred', 'near', '-', 'poor']",1
"['programs', 'called', 'safety', 'net', 'recognition', 'fact', 'offer', 'protection', 'find', 'without', 'jobs', 'income']",0
"['great', 'depression', '1930s', '1996', 'united', 'states', '’', 'visible', 'antipoverty', 'program', 'aid', 'families', 'dependent', 'children', 'afdc', 'provided', 'cash', 'payments', 'mothers', 'children', 'poverty', 'line']",1
"['program', 'often', 'called', '“', 'welfare', '”', '1996', 'congress', 'passed', 'president', 'bill', 'clinton', 'signed', 'law', 'personal', 'responsibility', 'work', 'opportunity', 'reconciliation', 'act', 'commonly', 'called', '“', 'welfare', 'reform', 'act', '”', 'new', 'law', 'replaced', 'afdc', 'temporary', 'assistance', 'needy', 'families', 'tanf']",0
"['often', 'called', '“', 'food', 'stamps', '”', 'supplemental', 'nutrition', 'assistance', 'program', 'snap', 'federally', 'funded', 'program', 'started', '1964', 'month', 'poor', 'people', 'receive', 'card', 'like', 'debit', 'card', 'use', 'buy', 'food']",1
"['amount', 'food', 'aid', 'household', 'eligible', 'varies', 'income', 'number', 'children', 'factors', 'general', 'households', 'expected', 'spend', '30', '%', 'net', 'income', 'food', '30', '%', 'net', 'income', 'enough', 'purchase', 'nutritionally', 'adequate', 'diet', 'households', 'eligible', 'snapsnap', 'contribute', 'poverty', 'trap']",0
"['medicaid', 'created', 'congress', '1965', 'joint', 'health', 'insurance', 'program', 'entered', 'states', 'federal', 'government']",1
"['federal', 'government', 'helps', 'fund', 'medicaid', 'state', 'responsible', 'administering', 'program', 'determining', 'level', 'benefits', 'determining', 'eligibility']",0
"['example', 'could', 'draw', 'bar', 'graph', 'showed', 'share', 'income', 'going', 'fifth', 'income', 'distribution']",0
"['link', 'presents', 'alternative', 'way', 'showing', 'inequality', 'data', 'called', 'lorenz', 'curve']",0
"['lorenz', 'curve', 'shows', 'cumulative', 'share', 'population', 'horizontal', 'axis', 'cumulative', 'percentage', 'total', 'income', 'received', 'vertical', 'axis']",1
"['public', 'policy', 'attempt', 'build', 'ladder', 'opportunities', 'even', 'though', 'children', 'never', 'come', 'identical', 'families', 'attend', 'identical', 'schools', 'child', 'reasonable', 'opportunity', 'attain', 'economic', 'niche', 'society', 'based', 'interests', 'desires', 'talents', 'efforts']",0
"['initiatives', 'include', 'shown', 'link']",0
"['labor', 'union', 'seeks', 'change', 'balance', 'power', 'employers', 'workers', 'requiring', 'employers', 'deal', 'workers', 'collectively', 'rather', 'individuals']",1
"['thus', 'negotiations', 'unions', 'firms', 'sometimes', 'called', 'collective', 'bargaining', 'subject', 'labor', 'unions', 'controversial']",1
